id	filename	md5	size	state
d925396e-c900-40c6-bff0-895d1195e3f7	TCGA-E2-A107-01Z-00-DX1.3BFCCC24-7286-488D-A9E9-98E498AD0767.svs	a74dbb4af47ecb8d5df721a4b4f5e8c2	1623786301	released
20c1e1ce-65d5-40dd-924b-a1bb905d2963	TCGA-E2-A1AZ-01Z-00-DX1.FE769F5F-385B-4DCF-819A-735C98D84FA8.svs	3923b8b653dd105cbe716db948d0cfbe	1805426549	released
afc8c086-fac7-4d36-b8e6-e6e267d25420	TCGA-AR-A1AX-01Z-00-DX1.2389D54F-545E-499E-B392-DD731834460A.svs	d1e49304691e79d070571a63d0d615af	1021041617	released
016dc3c4-3a2a-446d-9e24-c3d8a19f8f68	TCGA-UU-A93S-01Z-00-DX1.C4809779-DF5F-4F5D-A78C-B7F95F2D050F.svs	5034046f4a259ce67cdf9dc410e3bd0c	2234308067	released
6c31d94e-db09-4402-9285-526fb7a188b3	TCGA-EW-A1P4-01Z-00-DX1.3E9AE553-83D4-4B09-AB7F-D096BCE3BC4D.svs	21e1cf8feb8afc4382daf1fb90c5231d	1236274231	released
940280c6-7111-4e5f-b501-3a6d1fd97f6c	TCGA-C8-A274-01Z-00-DX1.B667DAB1-C944-4285-A312-5E4DDAE0EE78.svs	c55146051483537a8e568530f4be8d51	1074424397	released
250daa09-4bbd-4a9c-8143-6e0186b1298c	TCGA-A7-A0CG-01Z-00-DX1.D77019C2-96B1-4EF5-A61E-5F2D5B8D9852.svs	2ec436b0ae22bed6812301438bbd6e97	659006807	released
6e2b12a8-e1ca-405e-994b-480dd34354fa	TCGA-A7-A0D9-01Z-00-DX1.FBC3B90F-C58B-4476-8354-0AF9248324E3.svs	d5f3dae6b80ff22a36ee49fefe2da3e6	298601613	released
6f069d40-8b1f-4a34-bb11-3eb771c2ef6d	TCGA-A7-A5ZX-01Z-00-DX2.02F586FE-4775-480B-8035-D6AD3386F45D.svs	969b640c69ee2901085e7757d50b6061	280262173	released
26be28f3-9397-4082-97e7-97565b3226a7	TCGA-AR-A1AP-01Z-00-DX1.F163EED5-0385-41AA-BA35-54E4910CD99E.svs	def149d75c6e10eda8ba4c8ccc6003b9	1023777825	released
7203f196-7239-4b74-95a5-633b14feb1a2	TCGA-A8-A07F-01Z-00-DX1.E6FE5B3A-A412-4E7B-A710-7DFD3596F4E3.svs	afa42f9b6f50ede41b9ef566af4e416a	617569556	released
72f153f3-0623-46a1-a5cc-d21a9d409fad	TCGA-Z7-A8R6-01Z-00-DX1.CE4ED818-D762-4324-9DEA-2ACB38B9B0B9.svs	26996da03a06b3fe6be44b6c654535e3	1253910023	released
b41a57bd-8476-45e6-a53e-74a103537c62	TCGA-B6-A0I1-01Z-00-DX1.86BEC5E4-A2D1-4039-8D08-0598FA8BCC2B.svs	b03328818e5430505d5864858705b087	1767394813	released
c7de0471-564b-49bb-854e-0865af38238d	TCGA-EW-A1PC-01Z-00-DX1.45369705-AD49-419F-A0F0-EC51473BBAB9.svs	46ef859e5754da1e2369fdd06f956f9b	2223953887	released
752a5075-be6e-4e11-82a1-f99eaaf425b8	TCGA-A8-A09R-01Z-00-DX1.392580F3-0CE5-4EDB-91CF-814AAD0DB649.svs	bfe974e794fbf37083d3969d6a940c58	683551340	released
16b692d5-6789-4eac-88eb-1e951e56958f	TCGA-A2-A0CZ-01Z-00-DX1.A433A414-4F1B-4F99-8FD9-E64803F5E042.svs	5219257912544e14378ac9740d3b0b25	1512573769	released
567e7cd0-3eb7-4db5-a3af-ca5bc76edd7b	TCGA-LL-A5YO-01Z-00-DX1.B5B6DFDB-1020-41FF-AA50-9C633E17DE5F.svs	431fe282c554ceef7979e6ef7ff7d297	1208256171	released
a93cf2bc-d3aa-4cbf-ae5c-8a774c07ac6e	TCGA-BH-A0H9-01Z-00-DX1.8AE869C6-5C78-4D52-AC8B-5B6FD5FD91AA.svs	8b0109fcedbc6c3d421cc30a89f056f2	1058628405	released
f28f76d4-ad1c-4daa-a7a9-1e36d65d1c8e	TCGA-AR-A2LL-01Z-00-DX1.F0AF890C-2B34-4758-A929-58AAFF593EC5.svs	e30a51e58d1b69b6f4c1e5a763ff0a1c	1608304957	released
fd91e53a-40ef-4592-9657-3784f7774f1c	TCGA-AC-A2FM-01Z-00-DX1.5D2309D5-C47B-4B04-B7B8-2F0685842889.svs	2c9f21adc09fde5c6aaafdc250f7c4a5	221378486	released
17e93222-011d-4a1f-a12e-472825697904	TCGA-BH-A0BO-01Z-00-DX1.1A704471-FEB3-40F9-9838-3E347A18285F.svs	e6a10f765b8a50ba4bb160d9fa345856	527379779	released
